DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
117,FORBES,1245008,NORMAL,"BEDGERABONG PUBLIC SCHOOL",,7,"GOLDING AVE","BEDGERABONG",2871,"180/729416 25/752069",RU1,4.039,H,01/07/2023,46400,14A(1),6A(1),01/07/2022,42200,14A(1),6A(1),01/07/2021,35200,14A(1),6A(1),01/07/2020,35200,14A(1),6A(1),01/07/2019,33600,14A(1),6A(1),
117,FORBES,1245009,NORMAL,"TRESTA",,681,"NOAKES RD","GUNNING GAP",2871,"1/386705 1, 2/1107169",RU1,265.03,H,01/07/2023,915000,14A(1),6A(1),01/07/2022,915000,14A(1),6A(1),01/07/2021,915000,14A(1),6A(1),01/07/2020,852000,14A(1),6A(1),01/07/2019,568000,14A(1),6A(1),
117,FORBES,1245011,NORMAL,"",,,"BROWNS RD","BEDGERABONG",2871,"4/752069",RU1,115.2,H,01/07/2023,496000,14A(1),6A(3),01/07/2022,496000,14A(1),6A(3),01/07/2021,457000,14A(1),6A(3),01/07/2020,426000,14A(1),6A(3),01/07/2019,284000,14A(1),6A(3),
117,FORBES,1245016,NORMAL,"KENWORTH",,3351,"BEDGERABONG RD","BEDGERABONG",2871,"29/732124",RU1,36.22,H,01/07/2023,298000,14A(1),6A(3),01/07/2022,298000,14A(1),6A(3),01/07/2021,249000,14A(1),6A(3),01/07/2020,249000,14A(1),6A(3),01/07/2019,238000,14A(1),6A(3),
117,FORBES,1245017,NORMAL,"",,3326,"BEDGERABONG RD","BEDGERABONG",2871,"28/732124",RU1,52.76,H,01/07/2023,192000,14A(1),6A(1),01/07/2022,192000,14A(1),6A(1),01/07/2021,160000,14A(1),6A(1),01/07/2020,134000,14A(1),6A(1),01/07/2019,128000,14A(1),6A(1),
117,FORBES,1245018,NORMAL,"KARRAMAR",,3177,"BEDGERABONG RD","BEDGERABONG",2871,"10, 57, 98, 178/752069",RU1,69.69,H,01/07/2023,436000,14A(1),6A(3),01/07/2022,436000,14A(1),6A(3),01/07/2021,364000,14A(1),6A(3),01/07/2020,304000,14A(1),6A(3),01/07/2019,290000,14A(1),6A(3),
117,FORBES,1245019,NORMAL,"SPRING GROVE",,3217,"BEDGERABONG RD","BEDGERABONG",2871,"1/724013 11, 63, 88, 169/752069 Enclosure Permit 30947",RU1,128.64,H,01/07/2023,849000,14A(1),6A(3)/14G,01/07/2022,849000,14A(1),6A(3)/14G,01/07/2021,849000,14A(1),6A(3)/14G,01/07/2020,790000,14A(1),6A(3)/14G,01/07/2019,527000,14A(2),6A3/14G-I,
117,FORBES,1245020,NORMAL,"",,,"BEDGERABONG RD","BEDGERABONG",2871,"13, 14, 95, 155/752069",RU1,219.7,H,01/07/2023,1300000,14A(1),6A(3),01/07/2022,1300000,14A(1),6A(3),01/07/2021,1300000,14A(1),6A(3),01/07/2020,1210000,14A(1),6A(3),01/07/2019,808000,14A(1),6A(3),
117,FORBES,1245021,NORMAL,"",,228,"SLIMBRIDGE RD","BEDGERABONG",2871,"2/564550 1/564551 PT 56, PT 135/752069",RU1,574.8,H,01/07/2023,2050000,14A(1),6A(3),01/07/2022,2050000,14A(1),6A(3),01/07/2021,2900000,14A(1),6A(3),01/07/2020,2700000,14A(1),6A(3),01/07/2019,1800000,14A(1),6A(3),
117,FORBES,1245023,NORMAL,"",,3339,"BEDGERABONG RD","BEDGERABONG",2871,"1/405315",RU1,6987,M,01/07/2023,21000,14A(1),14G,01/07/2022,21000,14A(1),14G,01/07/2021,17500,14A(1),14G,01/07/2020,17500,14A(1),14G,01/07/2019,16700,14A(1),14G,
